,0,1,2,3,4,5,6,7,8,9
0,2.5350106,3.0439715,2.403393,1.8331531,2.43728,3.7913213,2.4187858,0.0,0.27307355,1.9206343
1,1.212811,3.5054984,1.888832,0.7257135,0.77723944,3.2215905,2.498932,0.0,1.3819581,0.7495375
2,2.402377,5.0342307,3.7126777,1.5072017,3.1706827,4.4509487,3.1736069,0.0,1.4777468,2.5564873
3,2.1278877,4.206413,2.560839,1.7067276,2.143042,3.802415,3.1076248,0.0,0.9458757,1.4166741
4,2.654876,6.0947394,3.101527,1.430032,2.403419,4.564435,3.87474,0.0,1.3037171,2.1740134
5,2.8199954,4.524619,3.7028136,1.5311636,2.8322396,2.513401,2.6233213,0.0,1.328809,2.1794848
6,2.9433281,4.3301377,2.5127096,1.5362625,2.3137486,3.1986122,3.0321856,0.0,1.257306,2.010454
7,3.3784614,5.5403733,3.213165,3.0273695,3.5854106,5.018361,2.7731762,0.0,2.2397518,2.7259872
8,2.3095737,5.6799746,3.6481817,1.7793871,2.0016606,2.5990505,2.6703181,0.0,1.2199117,0.71411914
9,1.9483808,5.1168838,3.5111434,3.3458369,3.9605322,3.6662672,3.9985754,0.0,1.484571,2.7228596
10,2.6261802,5.168071,3.803662,3.1723206,2.9347966,4.3554125,2.7404444,0.0,1.8567094,2.1864119
11,0.93143576,2.8967435,2.0258088,3.9174309,2.594945,2.8978274,2.8666096,0.0,1.166265,1.1284441
12,2.6856596,3.8463225,1.9602685,3.0385284,1.8058969,2.7545023,2.6497006,0.0,0.7738633,0.8340383
13,2.5122957,2.9102418,2.6525893,3.126706,1.9563272,2.7369099,2.9619925,0.0,1.2003471,2.1386645
14,3.3953965,4.6031375,3.2328556,3.5355344,2.2299244,4.514604,2.7570312,0.0,1.0856005,4.4813023
15,1.0817807,5.00436,3.0657358,2.4867702,2.1491718,2.6805866,3.3765094,0.0,1.2098544,3.574041
16,3.1033008,6.50322,4.189214,2.7200222,3.367896,2.8952174,3.776791,0.0,1.6073613,3.6521955
17,2.527049,4.1480193,3.4215226,3.5932524,2.279855,3.1358528,3.10007,0.0,1.4263135,3.5940354
18,3.8592596,6.9505725,3.4998085,3.7023072,3.2243795,3.3981435,4.7636714,0.0,2.5476358,3.1013443
19,2.0586286,3.575045,2.8455904,2.8970003,2.483187,3.065483,2.1757936,0.0,1.0757602,3.134826
20,2.7941527,4.5794706,3.6521754,3.5470293,3.4083714,4.2965837,3.40067,0.0,0.9726798,3.6862226
21,3.7025535,5.4970055,2.5689812,3.167887,2.885971,3.504324,3.849403,0.0,0.9884948,2.3983316
22,1.5621911,4.420066,3.3492112,3.186637,2.9659579,1.5668631,2.8520315,0.0,0.5916079,2.6262798
23,1.3512769,3.208832,2.4842818,2.3916209,2.4175231,1.9117244,3.421254,0.0,0.97158355,2.4251735
